Entity,Code,Year,"Meat, game | 00001163 || Production | 005510 || tonnes","Meat, horse | 00001097 || Production | 005510 || tonnes","Meat, camel | 00001127 || Production | 005510 || tonnes","Meat, sheep and goat | 00001807 || Production | 005510 || tonnes","Meat, beef and buffalo | 00001806 || Production | 005510 || tonnes","Meat, pig | 00001035 || Production | 005510 || tonnes","Meat, poultry | 00001808 || Production | 005510 || tonnes"
Afghanistan,AFG,1961,4000,,3600,73220,43000,,5600
Afghanistan,AFG,1962,4000,,4030.74,72375,45800,,6000
Afghanistan,AFG,1963,5000,,5031.36,75530,47250,,6160
Afghanistan,AFG,1964,5000,,4680,79750,48000,,6400
Afghanistan,AFG,1965,6000,,4320,84375,48700,,6800
Afghanistan,AFG,1966,6000,,4320,89690,68000,,7200
Afghanistan,AFG,1967,7000,,4320,100312.5,65000,,7600
Afghanistan,AFG,1968,7000,,4320,111312.5,71000,,8000
Afghanistan,AFG,1969,7000,,4320,106312.5,75000,,9600
Afghanistan,AFG,1970,7000,,4320,106200,62000,,9600
Afghanistan,AFG,1971,8000,,4356,107312.5,62000,,9600
Afghanistan,AFG,1972,8000,,4356,88000,61000,,9600
Afghanistan,AFG,1973,8200,,4356,99550,63000,,10000
Afghanistan,AFG,1974,8400,,4356,106550,62000,,10000
Afghanistan,AFG,1975,8600,,4428,113500,61000,,10400
Afghanistan,AFG,1976,8800,,4428,136500,62300,,10400
Afghanistan,AFG,1977,10500,,4428,137260,66000,,10800
Afghanistan,AFG,1978,9600,,5400,141260,67000,,11200
Afghanistan,AFG,1979,9700,,3978,138040,71000,,12000
Afghanistan,AFG,1980,10000,,3870,145940,67000,,12000
Afghanistan,AFG,1981,9000,,3870,152500,68000,,12400
Afghanistan,AFG,1982,9000,,3870,154280,69000,,12400
Afghanistan,AFG,1983,8500,,3960,144461,68000,,12560
Afghanistan,AFG,1984,7500,,3960,133681,68000,,12800
Afghanistan,AFG,1985,6000,,3960,118000,68000,,12960
Afghanistan,AFG,1986,4500,,2520,106700,68000,,13120
Afghanistan,AFG,1987,5000,,2700,113780,70000,,12960
Afghanistan,AFG,1988,6000,,2880,120860,71000,,12800
Afghanistan,AFG,1989,7000,,3060,127940,71000,,12560
Afghanistan,AFG,1990,8000,,3240,135012,86400,,12400
Afghanistan,AFG,1991,7944.94,,3240,137300,86400,,12160
Afghanistan,AFG,1992,7942.78,,3240,132980,86400,,12000
Afghanistan,AFG,1993,7940.62,,3240,131600,97200,,11840
Afghanistan,AFG,1994,7938.46,,3240,134200,113400,,11600
Afghanistan,AFG,1995,7936.31,,3240,133600,130000,,12320
Afghanistan,AFG,1996,7934.15,,3420,144800,143000,,13040
Afghanistan,AFG,1997,7931.99,,3600,159600,156000,,14000
Afghanistan,AFG,1998,7929.83,,3780,174100,171000,,15040
Afghanistan,AFG,1999,7927.64,,3960,192100,149000,,14000
Afghanistan,AFG,2000,7925.49,,3960,169700,126000,,13200
Afghanistan,AFG,2001,7923.34,,3600,146100,108000,,13120
Afghanistan,AFG,2002,7921.19,,3600,118800,150000,,24000
Afghanistan,AFG,2003,7919.03,,3600,121700,137000,,28400
Afghanistan,AFG,2004,7916.88,,3960,131000,149300,,30800
Afghanistan,AFG,2005,7914.73,,3780,133500,141100,,32320
Afghanistan,AFG,2006,7700,,3600,119400,117300,,24400
Afghanistan,AFG,2007,8000,,3780,100860,137000,,17600
Afghanistan,AFG,2008,8000,,3780,128480,133000,,20800
Afghanistan,AFG,2009,8000,,3960,137380,135000,,20000
Afghanistan,AFG,2010,8000,,3960,157200,131000,,28000
Afghanistan,AFG,2011,8000,,3564,160500,138000,,25600
Afghanistan,AFG,2012,8000,,3600,155200,139000,,24800
Afghanistan,AFG,2013,8000,,3510,150200,134000,,26400
Afghanistan,AFG,2014,7987.29,,3565.85,154112.66,120544.58,,24809.32
Afghanistan,AFG,2015,7992.35,,3597.44,155194.45,111438.28,,24558.74
Afghanistan,AFG,2016,7989.41,,3591.95,152124.56,107532.88,,24297.68
Afghanistan,AFG,2017,7990.49,,3648.22,158190.05,115754.24,,27637.84
Afghanistan,AFG,2018,7992.54,,3644.37,156048.39,96126.71,,29315.76
Afghanistan,AFG,2019,7994.63,,3641.42,157269.81,89006.91,,27680.53
Afghanistan,AFG,2020,7999.95,,3647.96,157021.47,88624.27,,28512.87
Afghanistan,AFG,2021,8004.5,,3665.81,151770.8,81784.56,,28210.69
Afghanistan,AFG,2022,8007.69,,3672.2,149071.73,76582.55,,28503.14
Afghanistan,AFG,2023,8010.88,,3678.38,148165.64,71330.38,,28796.08
Africa,,1961,393610,8306.4,69009.3,777949.5,1960373.1,184915.14,361473.44
Africa,,1962,398040,8961.45,71466.1,782783.8,1971816.4,190929.9,377683.3
Africa,,1963,405720,8846.95,76800.4,779859.8,2037819.6,195043.5,392365.62
Africa,,1964,422590,9528.35,78750.95,802413.75,2114745.5,206641.56,415617.66
Africa,,1965,429630,10260.8,85154.5,841489.3,2163356,212581.62,435546.38
